"Platform_ORF","GSM37063","GSM37064","GSM37065","GSM37066","GSM37067","GSM37068","GSM37069","GSM37070","GSM37071","GSM37072","GSM37073","GSM37074","GSM37075","GSM37076"
"b2563",10.5509391318992,10.1786648510065,10.3779696438188,10.7497856447643,10.845568456153,10.6541884730595,10.5109619192774,10.6474584264549,10.4960548323083,10.8722131439758,10.7130427705845,10.6209529022717,10.6614218327891,10.2201364473961
"b0463",11.2379269466263,11.7260478192835,11.6892117853706,11.2367915543847,11.9965441035024,11.9805680372892,11.24097016757,11.8587192546348,10.919831664003,11.2272549236749,11.6805792957802,11.5879649888827,11.5107147258424,11.6578096862315
"b0462",10.8656559539332,10.9792108116412,11.1444670603273,10.9135626363209,11.1254780480461,10.7525479058471,10.7577233492574,10.8117760553267,10.9871218676278,10.8118563142925,10.8909482168463,10.8609317691555,10.8231283634763,10.5684311931675
"b2470",8.29645740737124,9.00337736020232,9.29485045911278,9.06582000582393,8.82336724004623,8.75254790584714,8.0427537609772,8.48623167798101,7.79766152585376,8.51963625284321,6.92124588858559,7.78332568481352,6.33449676839042,7.81570350334807
"b3265",4.19377174339668,4.64385618977472,4.96809075204526,5.36106648879432,4.86294724802092,4.88264304936184,4.44625622988956,3.93545974780529,5.71973105674985,4.32192809488736,4.97269265400426,3.76553474636298,4.79701297783614,4.73335434061383
"b3266",3.58496250072116,3.57288966842058,4.35755200461808,4.10433665981474,4.19377174339668,4.27052894238072,3.84799690655495,3.01792190799726,4.91169158187234,4.41953889151378,4.5909612413426,4.78659636189081,4.20163386116965,4.16188768237689
"b4069",9.42353615338948,9.21140163741847,8.94485844580754,9.31356331136435,9.36959734627868,12.0596148562972,11.4900485994829,12.1346188378523,11.7215691845784,13.0296668336119,12.7795552166779,13.7755176918261,13.2496023687952,13.4713195767136
"b1623",8.6748984331333,9.06447332875342,9.61286849729104,9.15835722604901,8.63117705570398,9.140829770773,9.28401434473801,9.16942397867607,9.2045711442492,9.13545278418517,8.70009287475899,9.54824394422285,8.7632123668144,9.56338696616201
"b0356",10.418379719365,10.8205778826558,10.9470524367625,10.582612451267,10.9300720071538,10.8698251493965,10.8145023584607,10.5603328342124,9.75905593916017,10.9678746773027,10.7249401184624,10.9723336585459,10.6898233004294,11.0493721092185
"b1241",11.9046346216682,11.6857124323945,11.556601847975,11.7526733375935,12.5554998407831,12.2743199084275,12.4864076792585,11.4674017652051,11.122892688202,11.7002663068733,11.7270695580237,11.983171762188,11.7727681802894,12.0706911995663
"b1478",8.65499397296372,8.89784545600551,9.39531991094028,8.94895120044142,7.79116288855502,9.55074678538324,9.43629511983936,9.23026066466979,9.33784486699425,10.070255142425,9.96014677369672,10.8111338228122,10.3646818558646,11.1442758524844
"b4117",4.48542682717024,6.33628338786443,5.84549005094437,6.61618123133188,4.53605290024021,5.59395128394841,3.90689059560852,5.13750352374993,5.36106648879432,5.43629511983936,7.02680005934372,6.37330019660839,6.32012359804061,6.96000193206808
"b0474",12.6524192703599,12.8611644681599,12.7459053719742,12.7281118371423,12.770890973577,12.0474306908218,12.182114974906,12.6231499002205,12.2865000064471,12.4026124035066,12.3318406687868,11.8754038003181,12.2475715414779,11.5848216056538
"b0465",10.1330137387338,10.3601886700627,10.2023687427753,10.6974020075027,10.0726685733536,9.97985386716374,9.59413795601193,9.9029779958324,10.984133594541,9.77577486863729,10.7580566121466,10.1220514477139,10.6384359139905,9.88874324889826
"b3137",4.46597446450407,7.80283944093511,7.90989308377004,6.06177619758669,4.5668151540109,8.59357786734457,8.25219234012239,5.47897180503294,8.62241793925047,7.63952159951083,8.34251918966061,8.03287224946323,8.20603754624659,8.73403213956493
"b3132",5.56071495447448,5.70321146739115,6.34518344718767,7.86789646399265,5.41616416473313,5.83541884047548,5.37155886261196,4.16992500144231,6.49185309632967,6.98527271425345,6.39403389536778,7.37937836707126,5.89481776330794,6.70182625841205
"b1002",9.29806256771902,8.68580001974489,9.61415768679232,9.35226417325832,9.66195619727729,11.1682333517966,10.7713243919741,10.8062273760519,11.1041400582508,11.2468593339396,11.496903696768,12.1100591173034,11.8872967853182,11.918788715978
"b0605",13.4356051559007,13.7959280350171,13.481950755377,13.3007243410392,13.7118605243158,13.7060318808212,13.4273521326806,13.6029423862315,13.2500318855828,13.6653137080388,13.4153192481404,13.8125984981389,13.6357407897796,13.4876014067966
"b0606",11.0167386578672,10.8825666334058,10.8484664574268,10.9564487621183,10.7524642786239,10.7241727501414,10.9013194655301,10.9847744600468,11.085671621003,10.7313190310251,10.8427431807317,10.7765975264921,10.9702497214324,10.7554718088967
"b1415",10.2384047393251,10.2790301364496,9.86635165707678,10.3901689562002,10.9487322398196,13.1510165388922,13.0515488384404,12.7629425625953,12.4956302127068,13.5912184416617,13.5806354470842,14.0899717831326,13.8330383098981,13.7279842515772
